North,East,flood,aspect,curvature,dtr,elevation,Lulc,ndvi,rainfall,slope,Soil,spi,twi
2091074.389,232266.9083,1,7,3,1,1,5,5,10,1,1,5,9
2087111.286,235513.375,1,5,2,2,1,1,9,10,2,1,2,8
2087721.501,234907.2519,1,5,1,1,1,1,5,10,2,1,10,10
2090851.969,232966.1166,1,9,1,1,1,5,4,10,1,1,3,9
2076833.567,240357.5495,1,9,3,5,1,5,9,9,1,3,1,7
2077607.27,237030.2999,1,5,2,3,1,1,10,9,2,5,2,6
2079556.83,234998.6748,1,7,1,2,1,7,6,10,1,1,1,9
2093633.9,254267.2348,1,2,1,9,2,7,5,7,2,2,5,8
2087345.363,234086.8409,0,5,1,3,2,1,10,10,10,3,9,3
2078757.235,254726.4611,0,8,1,9,6,1,7,8,10,2,10,4
2077675.67,257244.8288,0,9,1,8,8,1,7,8,11,2,9,2
2094299.303,237446.5021,0,8,1,6,4,1,9,10,8,1,9,5
2094395.775,242479.142,0,3,1,9,3,1,10,9,4,1,10,10
2098912.95,253857.2021,1,3,2,9,2,7,9,7,2,2,3,7
2086133.204,254012.3145,1,4,1,8,2,1,5,8,4,5,9,9
2092882.698,260816.4985,1,9,3,5,2,7,3,6,1,3,10,10
2088497.034,276846.0519,1,2,2,2,3,3,7,6,6,3,9,6
2095993.115,265123.7946,1,4,1,2,2,7,3,5,3,2,5,4
2094478.034,261464.7694,1,2,3,5,2,7,2,6,6,3,2,3
2084122.766,263455.595,1,4,3,1,2,7,4,7,7,2,5,2
2083042.906,264689.2724,1,7,1,1,1,7,3,7,2,2,10,10
2084986.125,268897.4346,1,6,1,1,2,7,3,6,2,3,3,5
2101598.974,275560.9993,0,8,1,3,4,1,7,4,10,1,10,9
2078905.798,262619.1747,0,5,3,5,5,1,10,8,10,2,6,2
2076834.085,261451.3961,0,1,1,5,5,1,8,8,11,2,10,2
2083373.338,277881.6498,0,9,1,2,4,1,10,6,3,2,9,9
2094675.734,257927.9561,1,9,1,7,2,7,3,7,1,3,8,10
2092227.985,268282.6529,1,6,1,2,2,7,3,6,4,2,8,8
2086799.052,265732.7568,1,4,1,2,2,1,4,6,3,2,10,9
2078188.423,265316.6016,1,1,1,2,2,7,5,7,4,2,7,6
2099631.251,296231.2986,0,9,1,3,8,1,7,3,11,1,10,3
2088222.519,291356.8551,0,7,3,2,5,1,9,4,3,2,3,5
2089814.259,286888.4335,0,8,3,3,8,1,8,5,11,1,6,2
2123305.275,203467.6942,0,10,3,5,4,1,5,5,11,2,10,3
2127896.183,201819.571,0,10,1,8,5,1,8,5,4,2,7,7
2121606.776,199655.6488,0,9,3,7,3,1,6,6,11,2,10,3
2119447.136,203859.4552,0,10,3,4,2,1,8,5,7,4,8,4
2120871.706,201306.3904,0,5,1,6,4,1,10,6,9,2,8,3
2117742.548,196612.757,0,4,3,7,3,1,10,6,10,1,8,2
2116764.986,195225.6932,0,3,3,6,4,1,10,6,11,1,7,2
2109578.365,202488.9481,0,8,3,5,4,1,9,7,7,1,3,4
2115510.256,199210.9342,0,2,3,4,3,1,6,6,10,2,9,3
2115791.795,193668.9641,0,5,3,6,7,1,9,5,10,1,10,8
2114389.948,193815.1878,0,4,1,5,3,1,10,5,10,1,8,5
2105895.028,199627.7586,0,2,3,5,3,1,10,8,5,1,3,3
2114063.472,191926.0525,0,6,1,6,4,1,9,5,10,1,10,7
2104933.217,230749.5646,1,1,1,2,1,5,6,9,2,2,2,7
2106589.379,229984.2317,1,2,3,1,1,2,6,9,2,2,1,8
2103130.8,230671.1533,1,2,3,2,1,5,7,9,2,2,1,5
2127248.784,218741.355,0,10,2,3,5,1,5,4,10,1,10,4
2124223.908,220367.7765,0,1,2,4,5,1,6,4,11,1,9,2
2123782.448,227677.1835,0,4,1,8,4,1,10,4,11,1,10,5
2125293.977,218404.7064,0,8,1,3,8,1,8,4,10,1,7,2
2122664.572,216344.6474,0,7,2,4,3,6,9,5,11,1,9,2
2122788.048,223091.5501,0,2,1,6,4,1,9,5,11,3,9,2
2119365.731,207471.5083,0,7,3,3,3,1,10,5,5,1,6,5
2121524.089,219980.7202,0,4,2,6,7,1,10,6,10,1,6,2
2122804.32,208466.7362,0,5,2,2,2,1,9,5,3,1,3,4
2121804.07,219190.3825,0,7,3,6,6,1,10,6,10,1,10,2
2119658.06,225927.8504,0,1,3,8,6,1,6,6,10,1,5,2
2119032.848,224338.9752,0,9,1,8,9,1,7,6,10,1,9,3
2117886.835,226934.3912,0,10,1,7,8,1,7,6,11,1,8,2
2117293.819,228601.2287,0,2,1,6,5,1,10,7,10,1,10,8
2116482.019,231881.7768,0,2,2,5,2,1,8,7,11,1,8,2
2116044.646,208190.9758,0,2,3,5,3,1,8,6,10,1,5,2
2115796.134,229635.7116,0,3,1,5,4,1,9,7,10,1,10,10
2115130.912,227901.9983,0,7,3,5,4,1,8,7,11,1,10,2
2113819.789,230003.1858,0,3,3,3,5,1,6,7,10,1,5,2
2113718.417,224066.2248,0,7,1,5,4,1,9,7,11,7,10,9
2112930.76,226109.5954,0,3,3,4,4,1,10,7,10,7,7,2
2112264.107,226993.7208,0,2,3,2,2,1,9,9,11,7,9,2
2111433.98,226159.3137,0,4,1,3,5,1,10,9,10,7,9,3
2112265.312,224773.386,0,7,1,5,7,1,8,9,11,7,8,2
2109377.907,227279.9358,0,1,1,4,3,1,9,8,10,7,7,2
2108235.114,228603.6234,0,2,3,2,2,1,9,8,10,1,5,2
2107191.201,226281.4521,0,5,3,5,5,1,9,9,11,7,9,3
2105287.67,229255.9377,0,3,3,2,2,1,8,9,10,2,10,9
2102673.616,228819.8974,0,3,1,3,4,3,10,10,11,2,10,3
2103395.829,228112.5517,0,7,3,4,5,1,9,9,10,2,5,2
2127009.241,239007.5,0,5,1,4,5,1,9,4,11,1,9,2
2125773.151,237398.21,0,7,1,4,4,1,10,4,10,1,9,2
2124850.73,236985.0126,0,10,1,4,6,1,7,4,11,1,9,2
2124628.726,246189.4695,0,8,1,6,5,1,9,4,10,1,10,7
2122917.068,233525.5753,0,3,1,6,5,1,10,4,11,1,10,2
2121597.997,234975.7269,0,3,1,5,5,1,10,6,10,1,10,7
2116630.596,238149.2588,0,3,3,2,3,1,10,6,10,1,7,2
2115418.12,251829.1561,0,2,3,7,10,1,7,4,9,1,3,2
2115599.54,249338.8073,0,8,1,5,8,1,10,5,10,1,5,2
2106835.411,232303.4339,0,8,3,4,2,2,9,9,5,1,5,4
2102514.562,262522.0534,1,4,1,7,2,1,10,5,8,2,9,3
2126034.43,269714.4479,0,8,1,2,4,7,7,3,11,1,8,2
2122017.36,270859.5006,0,6,1,2,4,1,8,3,11,1,9,2
2121772.124,270558.7463,0,3,2,2,3,1,10,3,10,1,10,8
2116493.444,275850.5529,0,5,1,3,5,1,7,3,11,1,10,2
2115743.439,257993.7278,0,2,3,8,7,1,9,4,10,2,5,2
2103411.059,283298.1172,0,1,1,5,5,1,7,4,10,1,10,6
2114045.864,259501.7792,1,7,3,7,5,1,4,4,1,2,1,7
2114348.523,265464.1476,1,3,2,3,5,1,1,3,3,1,3,3
2112701.263,287515.6467,0,4,3,2,4,1,10,3,11,1,9,2
2111997.13,291879.6238,0,7,3,4,5,1,10,3,10,1,9,2
2110866.036,288636.452,0,7,1,3,5,1,9,3,11,1,8,2
2109598.038,290990.8997,0,3,3,4,5,1,10,3,10,1,9,3
2107397.56,285837.4378,0,8,3,3,4,1,8,3,10,1,9,3
2106808.632,288720.9861,0,2,3,6,8,1,10,4,10,1,7,2
2106182.787,297785.8256,0,8,1,7,10,1,7,4,10,1,10,4
2105208.154,286064.1113,0,8,1,5,4,1,10,4,10,1,9,3
2104025.534,293119.4927,0,10,1,5,8,1,6,4,10,1,10,5
2106350.747,295966.443,0,7,3,6,5,1,9,4,10,1,5,5
2102377.39,296689.1459,0,7,2,4,9,1,10,4,10,1,10,2
2139269.855,222439.4937,0,4,3,3,4,1,10,3,10,1,9,2
2136236.804,221610.275,0,9,1,2,3,1,6,4,10,1,9,2
2137606.193,224649.2244,0,3,1,4,6,1,10,4,10,1,6,2
2134868.167,217329.5623,0,9,3,4,3,1,8,3,11,1,9,2
2134390.338,221554.3128,0,8,2,3,4,1,8,4,10,1,8,2
2133412.85,222457.7557,0,9,3,4,6,1,6,4,10,1,9,2
2130508.421,229125.9825,0,10,1,8,5,1,6,4,11,1,9,2
2129156.035,229637.5081,0,10,1,8,8,1,8,4,10,1,7,8
2129336.305,221230.4143,0,3,1,3,5,1,10,4,10,1,6,2
2129333.531,225195.8613,0,1,3,6,7,1,8,5,10,3,5,2
2128709.235,227709.8549,0,9,1,7,7,1,8,4,11,1,8,2
2137587.483,249029.2503,1,4,3,2,5,1,8,3,4,1,4,4
