model,fold,accuracy,precision,recall,f1,auroc
Tuned RF - No SMOTE,6,0.9871794871794872,0.975,1.0,0.9873417721518988,0.9986850756081526
Tuned RF - No SMOTE,7,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.975016436554898
Tuned RF - No SMOTE,8,0.9487179487179487,0.9069767441860465,1.0,0.9512195121951219,0.997370151216305
Tuned RF - No SMOTE,9,0.8961038961038961,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.979757085020243
Tuned RF - No SMOTE,10,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.9986504723346828
Tuned RF - No SMOTE,11,0.9743589743589743,0.9512195121951219,1.0,0.975,1.0
Tuned RF - No SMOTE,12,0.9358974358974359,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.9848783694937541
Tuned RF - No SMOTE,13,0.8974358974358975,0.918918918918919,0.8717948717948718,0.8947368421052632,0.9809335963182116
Tuned RF - No SMOTE,14,0.961038961038961,0.95,0.9743589743589743,0.9620253164556962,0.9959514170040485
Tuned RF - No SMOTE,15,0.974025974025974,0.95,1.0,0.9743589743589743,0.9851551956815114
Tuned RF - No SMOTE,16,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9986850756081525
Tuned RF - No SMOTE,17,0.9358974358974359,1.0,0.8717948717948718,0.9315068493150684,0.9756738987508218
Tuned RF - No SMOTE,18,0.9358974358974359,0.8863636363636364,1.0,0.9397590361445783,0.9947403024326101
Tuned RF - No SMOTE,19,0.961038961038961,0.95,0.9743589743589743,0.9620253164556962,0.9946018893387314
Tuned RF - No SMOTE,20,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.9871794871794871
Tuned RF - No SMOTE,21,0.9358974358974359,0.925,0.9487179487179487,0.9367088607594937,0.9894806048652203
Tuned RF - No SMOTE,22,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9914529914529915
Tuned RF - No SMOTE,23,0.9743589743589743,0.9512195121951219,1.0,0.975,1.0
Tuned RF - No SMOTE,24,0.9090909090909091,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.9831309041835358
Tuned RF - No SMOTE,25,0.961038961038961,1.0,0.9210526315789473,0.958904109589041,0.9905533063427799
RandomizedSearch RF,1,0.9487179487179487,0.972972972972973,0.9230769230769231,0.9473684210526315,0.9888231426692965
RandomizedSearch RF,2,0.9743589743589743,0.9512195121951219,1.0,0.975,1.0
RandomizedSearch RF,3,0.9358974358974359,0.925,0.9487179487179487,0.9367088607594937,0.9750164365548981
RandomizedSearch RF,4,0.948051948051948,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.99527665317139
RandomizedSearch RF,5,0.961038961038961,0.972972972972973,0.9473684210526315,0.96,0.9979757085020243
RandomizedSearch RF,6,0.9743589743589743,0.9512195121951219,1.0,0.975,0.9990138067061144
RandomizedSearch RF,7,0.9615384615384616,0.9736842105263158,0.9487179487179487,0.961038961038961,0.9740302432610125
RandomizedSearch RF,8,0.9487179487179487,0.9069767441860465,1.0,0.9512195121951219,0.9924391847468771
RandomizedSearch RF,9,0.8961038961038961,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.9736842105263157
RandomizedSearch RF,10,0.974025974025974,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9993252361673415
RandomizedSearch RF,11,0.9487179487179487,0.9069767441860465,1.0,0.9512195121951219,1.0
RandomizedSearch RF,12,0.9487179487179487,0.972972972972973,0.9230769230769231,0.9473684210526315,0.9825772518080211
RandomizedSearch RF,13,0.9102564102564102,0.9444444444444444,0.8717948717948718,0.9066666666666666,0.9822485207100591
RandomizedSearch RF,14,0.961038961038961,0.95,0.9743589743589743,0.9620253164556962,0.9959514170040485
RandomizedSearch RF,15,0.961038961038961,0.926829268292683,1.0,0.9620253164556962,0.9844804318488529
RandomizedSearch RF,16,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9986850756081526
RandomizedSearch RF,17,0.9230769230769231,0.9714285714285714,0.8717948717948718,0.918918918918919,0.9812623274161735
RandomizedSearch RF,18,0.9230769230769231,0.8666666666666667,1.0,0.9285714285714286,0.9940828402366864
RandomizedSearch RF,19,0.974025974025974,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9946018893387314
RandomizedSearch RF,20,0.974025974025974,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9898785425101214
RandomizedSearch RF,21,0.9358974358974359,0.925,0.9487179487179487,0.9367088607594937,0.9914529914529914
RandomizedSearch RF,22,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9927679158448389
RandomizedSearch RF,23,0.9743589743589743,0.9512195121951219,1.0,0.975,1.0
RandomizedSearch RF,24,0.935064935064935,0.9473684210526315,0.9230769230769231,0.935064935064935,0.9851551956815114
RandomizedSearch RF,25,0.961038961038961,1.0,0.9210526315789473,0.958904109589041,0.9932523616734142
